TITLE,LINK
"""He Deserved Justice..."": Rahul Gandhi Joins Tribute For Father Stan Swamy",https://news.google.com./articles/CAIiEBosGfPN_gC5SIDAODVJfIUqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
"IT Rules 'law of the land', Twitter mandatorily required to follow: Centre to HC",https://news.google.com./articles/CAIiEIa2FaBbpiB5OQPJ6mEa2qAqGAgEKg8IACoHCAow3rvTBDD89X4w8ZXmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
12 BJP MLAs suspended from Maharashtra Assembly for 1 year,https://news.google.com./articles/CBMiggFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9vdGhlci1zdGF0ZXMvMTItYmpwLW1sYXMtc3VzcGVuZGVkLWZyb20tbWFoYXJhc2h0cmEtYXNzZW1ibHktZm9yLTEteWVhci9hcnRpY2xlMzUxNDYzNTkuZWNl0gGHAWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL290aGVyLXN0YXRlcy8xMi1ianAtbWxhcy1zdXNwZW5kZWQtZnJvbS1tYWhhcmFzaHRyYS1hc3NlbWJseS1mb3ItMS15ZWFyL2FydGljbGUzNTE0NjM1OS5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen
"India's third Covid-19 wave from August, peak in September: SBI report",https://news.google.com./articles/CAIiEIVeTlzT9g-j6FFIi0S1A4UqFwgEKg4IACoGCAoww7k_MMevCDCj7PkG?hl=en-IN&gl=IN&ceid=IN%3Aen
Disappointed over outcome of meeting chaired by PM on J&K: PAGD,https://news.google.com./articles/CAIiEEfr6oNz6Vg0vuCsq4tDKbcqGQgEKhAIACoHCAowzrL9CjDC7vQCMJmD1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
"Days after writing to PM Modi, TMC MPs knock on President's door seeking removal of Solicitor General Mehta",https://news.google.com./articles/CAIiEIQvbZ_bbMRdLipFSztCswgqGAgEKg8IACoHCAow3rvTBDD89X4w8ZXmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
"""He Deserved Justice..."": Rahul Gandhi Joins Tribute For Father Stan Swamy",https://news.google.com./articles/CAIiEBosGfPN_gC5SIDAODVJfIUqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
"India's third Covid-19 wave from August, peak in September: SBI report",https://news.google.com./articles/CAIiEIVeTlzT9g-j6FFIi0S1A4UqFwgEKg4IACoGCAoww7k_MMevCDCj7PkG?hl=en-IN&gl=IN&ceid=IN%3Aen
Sena-BJP ties like Aamir Khan-Kiran Rao relationship: Sanjay Raut,https://news.google.com./articles/CBMibWh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9pbmRpYS9zYW5qYXktcmF1dC1hYW1pci1raGFuLWtpcmFuLXJhby1zaGl2LXNlbmEtYmpwLXRpZXMtZmFkbmF2aXMtNzM4OTk5OS_SAXJodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvaW5kaWEvc2FuamF5LXJhdXQtYWFtaXIta2hhbi1raXJhbi1yYW8tc2hpdi1zZW5hLWJqcC10aWVzLWZhZG5hdmlzLTczODk5OTkvbGl0ZS8?hl=en-IN&gl=IN&ceid=IN%3Aen
These 5 states may see heavy rainfall around 10 July as southwest monsoon advances: IMD,https://news.google.com./articles/CAIiECgT5tKL2Bjjr80yQexQmU0qFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?hl=en-IN&gl=IN&ceid=IN%3Aen
"This is hell': 1,500 rescuers search mud for Japan missing",https://news.google.com./articles/CAIiEPg5bgqKDGSaTMv1GZ4ELpEqFQgEKgwIACoFCAowhgIwkDgwtPqTBw?hl=en-IN&gl=IN&ceid=IN%3Aen
